iter	RMSE
0	0.179006687
1	0.1640638747
2	0.1506750784
3	0.1385950009
4	0.127814319
5	0.1184411585
6	0.1098018135
7	0.1015299995
8	0.09449070555
9	0.08801966792
10	0.08248652851
11	0.07729615124
12	0.07259160654
13	0.06870930191
14	0.06495681207
15	0.06173524185
16	0.05900448723
17	0.05652557496
18	0.05427995009
19	0.05242908827
20	0.05084012524
21	0.0494803063
22	0.04824510485
23	0.04723697245
24	0.04630070945
25	0.04553370352
26	0.04480800147
27	0.04422482817
28	0.0437198549
29	0.04322009466
30	0.04282853379
31	0.04242108874
32	0.04209668212
33	0.04186703072
34	0.04160864301
35	0.04130714542
36	0.04105276249
37	0.04089322672
38	0.04071454974
39	0.04053529976
40	0.04041270515
41	0.04023516805
42	0.0400938509
43	0.04000239266
44	0.03989089465
45	0.03969591017
46	0.03957893306
47	0.03947058943
48	0.03933708186
49	0.03923908938
50	0.03911055766
51	0.03900311096
52	0.03885673434
53	0.03876529418
54	0.03869692996
55	0.03863316608
56	0.03857936013
57	0.0384253906
58	0.03838909959
59	0.03833895629
60	0.03824563976
61	0.0382052534
62	0.03811659323
63	0.03807867965
64	0.03800977781
65	0.03792147417
66	0.03780667459
67	0.03775168398
68	0.03768150609
69	0.03763209329
70	0.03753320481
71	0.03742265894
72	0.03739576099
73	0.03734820716
74	0.03726994922
75	0.03724179623
76	0.03711557226
77	0.03701412159
78	0.0369650825
79	0.03690499099
80	0.03687777331
81	0.03676198948
82	0.03672482441
83	0.03669406653
84	0.0366340893
85	0.0366001457
86	0.03652472114
87	0.03645807771
88	0.03642769931
89	0.03633916048
90	0.03627059292
91	0.03618281702
92	0.03613362888
93	0.03605306929
94	0.03597727896
95	0.03589361441
96	0.03583181219
97	0.03579037822
98	0.03576701331
99	0.03563605056
